harga,jumlah_kamar_tidur,jumlah_kamar_mandi,jumlah_garasi,luas_tanah,luas_bangunan
495000000,3,1,1,141 m²,60 m²
475000000,2,1,0,90 m²,50 m²
5500000000,4,4,2,287 m²,200 m²
700000000,2,2,1,100 m²,90 m²
250000000,2,1,1,88 m²,36 m²
580000000,3,2,1,100 m²,80 m²
765000000,3,2,1,118 m²,75 m²
1880000000,3,2,2,150 m²,110 m²
500000000,3,1,0,97 m²,55 m²
278000000,2,1,2,72 m²,36 m²
495000000,2,1,1,107 m²,36 m²
495000000,2,1,1,107 m²,36 m²
278000000,2,1,2,72 m²,36 m²
900000000,4,2,1,140 m²,140 m²
1950000000,3,2,2,168 m²,130 m²
897000000,3,2,1,107 m²,91 m²
730000000,3,2,2,100 m²,80 m²
513000000,2,1,1,79 m²,76 m²
1980000000,3,3,0,150 m²,110 m²
990000000,3,3,1,103 m²,100 m²
278000000,2,1,2,71 m²,36 m²
600000000,1,1,1,225 m²,225 m²
695000000,0,0,0,94 m²,64 m²
900000000,2,2,1,133 m²,80 m²
2360000000,4,3,1,182 m²,135 m²
850000000,2,2,1,106 m²,62 m²
600000000,3,2,1,123 m²,105 m²
2600000000,5,4,2,150 m²,150 m²
1700000000,4,3,2,110 m²,114 m²
1970000000,4,3,3,135 m²,165 m²
1750000000,8,4,2,176 m²,340 m²
1200000000,7,3,1,157 m²,120 m²
970000000,4,2,1,176 m²,90 m²
8900000000,5,5,4,1280 m²,820 m²
5900000000,4,4,4,1192 m²,620 m²
1600000000,5,5,0,131 m²,200 m²
5000000000,9,6,0,438 m²,180 m²
14000000000,13,13,6,1200 m²,350 m²
675000000,3,2,1,125 m²,65 m²
675000000,3,2,1,125 m²,65 m²
795000000,3,2,1,98 m²,85 m²
580000000,3,2,1,100 m²,80 m²
580000000,3,2,1,100 m²,80 m²
2350000000,10,10,4,103 m²,255 m²
2200000000,4,2,2,250 m²,180 m²
549000000,2,1,1,90 m²,45 m²
549000000,2,1,1,90 m²,45 m²
585000000,3,2,1,100 m²,58 m²
585000000,3,2,1,100 m²,58 m²
8000000000,11,6,4,618 m²,388 m²
500000000,2,2,1,120 m²,45 m²
500000000,2,2,1,120 m²,45 m²
1100000000,4,2,1,115 m²,205 m²
720000000,3,2,1,87 m²,80 m²
720000000,3,2,1,87 m²,80 m²
2300000000,4,3,2,160 m²,150 m²
399000000,2,2,1,100 m²,50 m²
1350000000,3,2,1,105 m²,120 m²
1500000000,0,0,0,976 m²,250 m²
1300000000,3,2,2,161 m²,120 m²
875000000,3,2,1,85 m²,125 m²
235000000,2,1,1,73 m²,30 m²
799000000,3,1,1,119 m²,80 m²
2200000000,11,11,0,133 m²,182 m²
1000000000,5,3,2,180 m²,120 m²
950000000,3,1,0,108 m²,100 m²
998000000,3,3,1,103 m²,100 m²
8000000000,7,4,6,1300 m²,1000 m²
1300000000,5,2,2,112 m²,200 m²
1300000000,5,4,2,150 m²,200 m²
2430000000,4,3,1,192 m²,135 m²
302000000,3,2,1,121 m²,60 m²
480000000,3,1,1,98 m²,50 m²
1000000000,7,5,1,110 m²,110 m²
1500000000,3,4,2,151 m²,161 m²
2650000000,4,3,1,213 m²,135 m²
2950000000,15,15,2,200 m²,400 m²
155000000,2,1,1,88 m²,36 m²
2100000000,3,2,1,223 m²,200 m²
2490000000,4,3,1,200 m²,135 m²
591000000,2,1,1,84 m²,40 m²
1350000000,5,3,0,156 m²,156 m²
650000000,5,2,1,161 m²,130 m²
571000000,2,1,1,79 m²,40 m²
1380000000,3,2,1,103 m²,100 m²
325000000,2,1,1,70 m²,36 m²
337000000,2,1,1,74 m²,36 m²
331000000,2,1,1,72 m²,36 m²
2880000000,11,11,1,207 m²,208 m²
725000000,4,2,1,130 m²,100 m²
1350000000,3,2,1,100 m²,103 m²
520000000,2,1,1,90 m²,50 m²
7250000000,23,11,3,500 m²,550 m²
2400000000,4,3,1,187 m²,135 m²
950000000,3,2,1,175 m²,120 m²
1480000000,3,2,1,125 m²,100 m²
2200000000,10,10,2,122 m²,190 m²
2430000000,4,3,1,192 m²,135 m²
2460000000,4,3,1,196 m²,135 m²
2360000000,4,3,1,182 m²,135 m²
2400000000,4,3,1,187 m²,135 m²
2650000000,4,3,1,213 m²,135 m²
1950000000,4,3,1,630 m²,350 m²
2550000000,4,4,0,175 m²,130 m²
7900000000,6,6,0,816 m²,350 m²
700000000,2,2,1,108 m²,100 m²
556000000,2,1,1,84 m²,46 m²
725000000,2,1,0,,
2530000000,4,4,2,175 m²,130 m²
549000000,2,1,1,90 m²,45 m²
898000000,3,2,1,90 m²,65 m²
8000000000,24,24,4,385 m²,420 m²
850000000,3,1,1,96 m²,70 m²
