harga,jumlah_kamar_tidur,jumlah_kamar_mandi,jumlah_garasi,luas_tanah,luas_bangunan
11000000000,4.0,3.0,0.0,340 m²,280 m²
2430000000,4.0,3.0,1.0,192 m²,135 m²
575000000,3.0,2.0,1.0,98 m²,115 m²
4200000000,4.0,4.0,8.0,564 m²,190 m²
1850000000,3.0,2.0,1.0,126 m²,115 m²
580000000,3.0,2.0,0.0,90 m²,65 m²
4250000000,3.0,3.0,6.0,425 m²,150 m²
3100000000,7.0,4.0,2.0,225 m²,300 m²
750000000,2.0,1.0,1.0,166 m²,36 m²
25000000000,9.0,9.0,3.0,429 m²,1000 m²
799000000,3.0,2.0,1.0,111 m²,60 m²
799000000,3.0,2.0,2.0,75 m²,50 m²
8900000000,7.0,6.0,8.0,1050 m²,735 m²
3990000000,13.0,11.0,10.0,235 m²,475 m²
950000000,4.0,4.0,1.0,90 m²,62 m²
800000000,3.0,2.0,1.0,101 m²,60 m²
4000000000,15.0,15.0,4.0,207 m²,300 m²
1700000000,10.0,10.0,3.0,100 m²,200 m²
392000000,2.0,1.0,1.0,80 m²,36 m²
1450000000,3.0,3.0,1.0,110 m²,129 m²
1300000000,10.0,6.0,3.0,236 m²,180 m²
4200000000,4.0,4.0,1.0,564 m²,150 m²
235000000,2.0,1.0,1.0,73 m²,30 m²
2400000000,10.0,10.0,3.0,175 m²,280 m²
1880000000,3.0,3.0,1.0,121 m²,80 m²
2660000000,3.0,3.0,2.0,153 m²,160 m²
320000000,2.0,1.0,1.0,94 m²,36 m²
1650000000,4.0,3.0,2.0,125 m²,140 m²
1990000000,3.0,3.0,1.0,172 m²,100 m²
1800000000,3.0,3.0,2.0,95 m²,150 m²
550000000,3.0,1.0,1.0,116 m²,60 m²
1700000000,3.0,4.0,1.0,151 m²,120 m²
1100000000,3.0,2.0,1.0,138 m²,100 m²
2200000000,5.0,4.0,2.0,114 m²,150 m²
750000000,3.0,2.0,2.0,130 m²,60 m²
237000000,2.0,1.0,1.0,60 m²,28 m²
750000000,3.0,2.0,2.0,130 m²,60 m²
1650000000,4.0,3.0,2.0,125 m²,140 m²
1520000000,4.0,2.0,1.0,99 m²,150 m²
350000000,2.0,1.0,1.0,104 m²,50 m²
850000000,3.0,2.0,1.0,114 m²,110 m²
2950000000,4.0,3.0,0.0,213 m²,185 m²
895000000,3.0,2.0,2.0,91 m²,76 m²
2500000000,3.0,3.0,0.0,352 m²,168 m²
1200000000,3.0,2.0,1.0,115 m²,100 m²
1270000000,3.0,2.0,1.0,130 m²,100 m²
675000000,2.0,1.0,1.0,85 m²,45 m²
817000000,2.0,2.0,1.0,103 m²,76 m²
4500000000,20.0,15.0,3.0,235 m²,370 m²
817000000,2.0,2.0,1.0,103 m²,76 m²
470000000,3.0,3.0,0.0,147 m²,70 m²
765000000,2.0,1.0,1.0,101 m²,60 m²
675000000,2.0,1.0,1.0,84 m²,50 m²
2200000000,4.0,4.0,2.0,150 m²,235 m²
725000000,3.0,2.0,1.0,100 m²,70 m²
800000000,3.0,2.0,1.0,120 m²,80 m²
884000000,4.0,2.0,2.0,104 m²,60 m²
3400000000,4.0,3.0,0.0,421 m²,200 m²
1250000000,2.0,2.0,2.0,125 m²,150 m²
500000000,2.0,2.0,1.0,80 m²,55 m²
500000000,3.0,2.0,1.0,108 m²,70 m²
3900000000,14.0,14.0,3.0,502 m²,473 m²
690000000,2.0,1.0,1.0,87 m²,45 m²
875000000,3.0,2.0,2.0,112 m²,95 m²
756000000,3.0,1.0,2.0,104 m²,60 m²
4500000000,5.0,2.0,7.0,503 m²,300 m²
1300000000,5.0,6.0,1.0,320 m²,142 m²
850000000,3.0,2.0,2.0,80 m²,85 m²
6500000000,9.0,6.0,0.0,2367 m²,1000 m²
1290000000,4.0,3.0,1.0,99 m²,105 m²
2700000000,3.0,2.0,2.0,267 m²,180 m²
6500000000,5.0,4.0,1.0,778 m²,500 m²
1780000000,4.0,3.0,2.0,118 m²,160 m²
1250000000,3.0,3.0,1.0,105 m²,160 m²
575000000,2.0,1.0,1.0,108 m²,80 m²
8900000000,17.0,17.0,7.0,550 m²,435 m²
775000000,2.0,2.0,0.0,118 m²,100 m²
575000000,3.0,2.0,1.0,101 m²,80 m²
785000000,3.0,2.0,1.0,115 m²,60 m²
2450000000,8.0,5.0,2.0,150 m²,200 m²
6000000000,34.0,8.0,0.0,1145 m²,607 m²
1850000000,4.0,3.0,1.0,147 m²,120 m²
8500000000,17.0,15.0,0.0,389 m²,554 m²
900000000,3.0,3.0,1.0,98 m²,100 m²
3500000000,14.0,5.0,0.0,203 m²,250 m²
750000000,3.0,2.0,2.0,130 m²,60 m²
2200000000,5.0,6.0,3.0,495 m²,300 m²
2800000000,7.0,3.0,2.0,140 m²,195 m²
4500000000,3.0,2.0,0.0,668 m²,250 m²
2800000000,4.0,4.0,2.0,154 m²,230 m²
1500000000,2.0,1.0,1.0,120 m²,90 m²
275000000,2.0,1.0,1.0,70 m²,36 m²
1700000000,6.0,5.0,0.0,162 m²,170 m²
25000000000,9.0,9.0,3.0,429 m²,1000 m²
6000000000,6.0,6.0,1.0,688 m²,384 m²
5200000000,12.0,12.0,3.0,525 m²,500 m²
305000000,2.0,1.0,0.0,66 m²,45 m²
310000000,2.0,1.0,0.0,72 m²,45 m²
310000000,2.0,1.0,0.0,72 m²,45 m²
315000000,2.0,1.0,0.0,45 m²,75 m²
312000000,2.0,1.0,0.0,45 m²,72 m²
3100000000,7.0,4.0,2.0,225 m²,300 m²
375000000,2.0,1.0,1.0,82 m²,46 m²
2100000000,3.0,3.0,1.0,139 m²,100 m²
2000000000,4.0,2.0,2.0,105 m²,140 m²
645000000,3.0,1.0,2.0,93 m²,60 m²
4200000000,4.0,4.0,8.0,564 m²,190 m²
1280000000,3.0,3.0,2.0,134 m²,85 m²
270000000,2.0,1.0,1.0,61 m²,30 m²
3100000000,7.0,4.0,2.0,225 m²,300 m²
1780000000,3.0,3.0,2.0,119 m²,114 m²
598000000,2.0,1.0,1.0,90 m²,40 m²
645000000,3.0,1.0,1.0,93 m²,60 m²
4200000000,4.0,4.0,8.0,564 m²,190 m²
25000000000,9.0,9.0,3.0,429 m²,1000 m²
1820000000,3.0,2.0,1.0,140 m²,158 m²
2900000000,2.0,3.0,2.0,380 m²,200 m²
499000000,2.0,1.0,1.0,120 m²,36 m²
4250000000,3.0,3.0,6.0,425 m²,150 m²
592000000,2.0,1.0,1.0,91 m²,50 m²
985000000,2.0,2.0,1.0,125 m²,132 m²
890000000,3.0,2.0,1.0,85 m²,70 m²
5000000000,8.0,7.0,6.0,1031 m²,500 m²
4750000000,5.0,5.0,0.0,419 m²,252 m²
1250000000,2.0,1.0,1.0,130 m²,70 m²
790000000,3.0,2.0,1.0,75 m²,70 m²
4200000000,5.0,4.0,2.0,230 m²,208 m²
250000000,2.0,1.0,0.0,76 m²,36 m²
600000000,3.0,1.0,1.0,167 m²,130 m²
6900000000,5.0,3.0,3.0,843 m²,450 m²
3800000000,3.0,3.0,1.0,199 m²,206 m²
407000000,2.0,1.0,0.0,80 m²,45 m²
297000000,2.0,1.0,1.0,75 m²,45 m²
400000000,2.0,1.0,1.0,90 m²,50 m²
1450000000,3.0,3.0,1.0,110 m²,129 m²
1940000000,3.0,3.0,0.0,150 m²,110 m²
400000000,2.0,1.0,1.0,90 m²,50 m²
580000000,3.0,2.0,1.0,101 m²,70 m²
850000000,3.0,2.0,1.0,102 m²,65 m²
850000000,3.0,2.0,1.0,102 m²,65 m²
850000000,4.0,3.0,0.0,126 m²,126 m²
350000000,2.0,1.0,0.0,105 m²,70 m²
2120000000,4.0,4.0,2.0,120 m²,150 m²
2120000000,4.0,4.0,2.0,120 m²,150 m²
808000000,3.0,2.0,2.0,85 m²,45 m²
690000000,3.0,2.0,2.0,78 m²,60 m²
675000000,2.0,1.0,1.0,85 m²,45 m²
1250000000,10.0,4.0,1.0,128 m²,200 m²
870000000,3.0,2.0,1.0,135 m²,80 m²
2600000000,4.0,3.0,2.0,150 m²,190 m²
300000000,2.0,1.0,0.0,74 m²,42 m²
2300000000,8.0,9.0,2.0,98 m²,120 m²
1600000000,4.0,2.0,0.0,125 m²,125 m²
2500000000,3.0,3.0,0.0,352 m²,168 m²
1600000000,4.0,3.0,0.0,193 m²,193 m²
6500000000,5.0,5.0,0.0,455 m²,650 m²
1750000000,4.0,4.0,0.0,187 m²,335 m²
3500000000,4.0,3.0,0.0,728 m²,426 m²
3500000000,4.0,3.0,0.0,728 m²,426 m²
299000000,2.0,1.0,1.0,74 m²,74 m²
3000000000,4.0,2.0,0.0,262 m²,252 m²
385000000,3.0,2.0,1.0,63 m²,80 m²
900000000,3.0,2.0,1.0,133 m²,80 m²
1300000000,3.0,3.0,1.0,135 m²,85 m²
280000000,2.0,1.0,1.0,88 m²,36 m²
1600000000,0.0,0.0,0.0,530 m²,300 m²
250000000,2.0,1.0,1.0,88 m²,36 m²
42000000000,5.0,4.0,0.0,1769 m²,702 m²
1750000000,3.0,2.0,1.0,131 m²,160 m²
4600000000,5.0,3.0,3.0,443 m²,177 m²
900000000,2.0,2.0,1.0,108 m²,60 m²
595000000,3.0,1.0,1.0,93 m²,60 m²
852000000,4.0,2.0,1.0,142 m²,200 m²
700000000,3.0,2.0,1.0,106 m²,70 m²
2300000000,8.0,8.0,2.0,98 m²,120 m²
1290000000,4.0,3.0,2.0,99 m²,105 m²
375000000,2.0,1.0,1.0,72 m²,72 m²
1470000000,4.0,4.0,2.0,178 m²,131 m²
462000000,1.0,1.0,0.0,201 m²,100 m²
1560000000,1.0,1.0,0.0,209 m²,100 m²
550000000,3.0,2.0,0.0,82 m²,100 m²
2500000000,3.0,2.0,1.0,123 m²,150 m²
495000000,3.0,1.0,1.0,141 m²,60 m²
475000000,2.0,1.0,0.0,90 m²,50 m²
5500000000,4.0,4.0,2.0,287 m²,200 m²
700000000,2.0,2.0,1.0,100 m²,90 m²
250000000,2.0,1.0,1.0,88 m²,36 m²
580000000,3.0,2.0,1.0,100 m²,80 m²
765000000,3.0,2.0,1.0,118 m²,75 m²
1880000000,3.0,2.0,2.0,150 m²,110 m²
500000000,3.0,1.0,0.0,97 m²,55 m²
278000000,2.0,1.0,2.0,72 m²,36 m²
495000000,2.0,1.0,1.0,107 m²,36 m²
495000000,2.0,1.0,1.0,107 m²,36 m²
278000000,2.0,1.0,2.0,72 m²,36 m²
900000000,4.0,2.0,1.0,140 m²,140 m²
1950000000,3.0,2.0,2.0,168 m²,130 m²
897000000,3.0,2.0,1.0,107 m²,91 m²
730000000,3.0,2.0,2.0,100 m²,80 m²
513000000,2.0,1.0,1.0,79 m²,76 m²
1980000000,3.0,3.0,0.0,150 m²,110 m²
990000000,3.0,3.0,1.0,103 m²,100 m²
278000000,2.0,1.0,2.0,71 m²,36 m²
