harga,jumlah_kamar_tidur,jumlah_kamar_mandi,jumlah_garasi,luas_tanah,luas_bangunan
"Rp 2,54 Miliar",4.0,3.0,1.0,200 m²,135 m²
Rp 300 Juta,1.0,1.0,0.0,52 m²,95 m²
"Rp 3,3 Miliar",40.0,42.0,1.0,110 m²,400 m²
Rp 995 Juta,3.0,2.0,1.0,109 m²,75 m²
Rp 410 Juta,2.0,1.0,1.0,112 m²,60 m²
Rp 245 Juta,2.0,1.0,1.0,75 m²,36 m²
"Rp 2,4 Miliar",4.0,3.0,1.0,403 m²,220 m²
"Rp 1,79 Miliar",4.0,3.0,1.0,113 m²,175 m²
Rp 399 Juta,2.0,1.0,0.0,100 m²,45 m²
Rp 550 Juta,3.0,2.0,1.0,101 m²,55 m²
"Rp 2,4 Miliar",3.0,2.0,1.0,121 m²,140 m²
Rp 410 Juta,2.0,1.0,1.0,80 m²,42 m²
"Rp 2,9 Miliar",3.0,3.0,2.0,140 m²,115 m²
Rp 650 Juta,4.0,2.0,1.0,90 m²,150 m²
Rp 775 Juta,2.0,1.0,1.0,132 m²,90 m²
Rp 1 Miliar,6.0,6.0,2.0,131 m²,115 m²
Rp 999 Juta,3.0,3.0,1.0,103 m²,100 m²
"Rp 7,25 Miliar",5.0,7.0,10.0,2770 m²,700 m²
"Rp 1,2 Miliar",4.0,2.0,0.0,766 m²,400 m²
Rp 695 Juta,2.0,2.0,1.0,100 m²,65 m²
Rp 675 Juta,2.0,1.0,1.0,85 m²,45 m²
"Rp 4,25 Miliar",3.0,3.0,6.0,425 m²,150 m²
Rp 725 Juta,3.0,2.0,2.0,114 m²,71 m²
Rp 815 Juta,2.0,2.0,1.0,75 m²,50 m²
Rp 455 Juta,2.0,1.0,1.0,83 m²,45 m²
"Rp 1,3 Miliar",3.0,1.0,2.0,126 m²,80 m²
Rp 690 Juta,3.0,2.0,2.0,76 m²,60 m²
Rp 11 Miliar,4.0,3.0,0.0,340 m²,280 m²
"Rp 2,43 Miliar",4.0,3.0,1.0,192 m²,135 m²
Rp 575 Juta,3.0,2.0,1.0,98 m²,115 m²
"Rp 4,2 Miliar",4.0,4.0,8.0,564 m²,190 m²
"Rp 1,85 Miliar",3.0,2.0,1.0,126 m²,115 m²
Rp 580 Juta,3.0,2.0,0.0,90 m²,65 m²
"Rp 4,25 Miliar",3.0,3.0,6.0,425 m²,150 m²
"Rp 3,1 Miliar",7.0,4.0,2.0,225 m²,300 m²
Rp 750 Juta,2.0,1.0,1.0,166 m²,36 m²
Rp 25 Miliar,9.0,9.0,3.0,429 m²,1000 m²
Rp 799 Juta,3.0,2.0,1.0,111 m²,60 m²
Rp 799 Juta,3.0,2.0,2.0,75 m²,50 m²
"Rp 8,9 Miliar",7.0,6.0,8.0,1050 m²,735 m²
"Rp 3,99 Miliar",13.0,11.0,10.0,235 m²,475 m²
Rp 950 Juta,4.0,4.0,1.0,90 m²,62 m²
Rp 800 Juta,3.0,2.0,1.0,101 m²,60 m²
Rp 4 Miliar,15.0,15.0,4.0,207 m²,300 m²
"Rp 1,7 Miliar",10.0,10.0,3.0,100 m²,200 m²
Rp 392 Juta,2.0,1.0,1.0,80 m²,36 m²
"Rp 1,45 Miliar",3.0,3.0,1.0,110 m²,129 m²
"Rp 1,3 Miliar",10.0,6.0,3.0,236 m²,180 m²
"Rp 4,2 Miliar",4.0,4.0,1.0,564 m²,150 m²
Rp 235 Juta,2.0,1.0,1.0,73 m²,30 m²
"Rp 2,4 Miliar",10.0,10.0,3.0,175 m²,280 m²
"Rp 1,88 Miliar",3.0,3.0,1.0,121 m²,80 m²
"Rp 2,66 Miliar",3.0,3.0,2.0,153 m²,160 m²
Rp 320 Juta,2.0,1.0,1.0,94 m²,36 m²
"Rp 1,65 Miliar",4.0,3.0,2.0,125 m²,140 m²
"Rp 1,99 Miliar",3.0,3.0,1.0,172 m²,100 m²
"Rp 1,8 Miliar",3.0,3.0,2.0,95 m²,150 m²
Rp 550 Juta,3.0,1.0,1.0,116 m²,60 m²
"Rp 1,7 Miliar",3.0,4.0,1.0,151 m²,120 m²
"Rp 1,1 Miliar",3.0,2.0,1.0,138 m²,100 m²
"Rp 2,2 Miliar",5.0,4.0,2.0,114 m²,150 m²
Rp 750 Juta,3.0,2.0,2.0,130 m²,60 m²
Rp 237 Juta,2.0,1.0,1.0,60 m²,28 m²
Rp 750 Juta,3.0,2.0,2.0,130 m²,60 m²
"Rp 1,65 Miliar",4.0,3.0,2.0,125 m²,140 m²
"Rp 1,52 Miliar",4.0,2.0,1.0,99 m²,150 m²
Rp 350 Juta,2.0,1.0,1.0,104 m²,50 m²
Rp 850 Juta,3.0,2.0,1.0,114 m²,110 m²
