target,knn,regresi_linier
22.390972657504488,21.969208186449247,22.491309590391115
22.05826690367876,21.62784033967493,21.838915013028277
20.45538639179081,20.31305818427662,20.45051405787632
21.31105250184853,21.394825934447653,20.979774029899158
22.08424239008201,22.082794600968246,22.17622209122463
21.655429917976857,21.603925287683342,21.221982184353454
19.568083196789907,19.670356381585727,19.906922852002047
21.10852823773705,21.509687941614587,21.27756276264013
20.905587393740365,20.881170868098692,20.76558770043398
21.31105250184853,21.171299018368096,21.02065307888611
21.78797657393884,21.65034877687813,21.581521627266547
21.059738073567623,20.98869940671547,20.644502046807027
19.92475814072864,19.84386519542431,19.983141300700666
21.33845147603665,21.504636021191075,21.029164826091325
22.158350362235733,21.865997001281347,21.602679507631862
22.50665705650395,21.737370596080158,21.804268410797402
21.41641301750636,21.50158375813426,22.03278470981368
20.985630101413904,20.51638485138482,20.640260539585533
22.50665705650395,22.22583092842091,22.40515362763485
20.671972542558866,20.952364603848228,21.09644350025977
20.72126383427574,20.872919265311893,20.791719635166324
21.2240411248589,21.24908697458163,21.177739822358358
21.35984266601796,21.466201830025213,21.05579650858687
21.11530792472244,21.090960563348247,20.780879225822442
21.40636268165285,21.083188715310243,20.96907684530785
20.26123037734985,20.37511955881852,20.434686684648224
22.291881754860256,21.874866330840725,22.36686096294997
21.46520318167579,21.373743817180173,21.21306019426886
22.50665705650395,21.890044123975485,22.53257142542414
20.70306312962889,21.03749613376331,21.181099262832976
20.209101311914907,19.80910624504282,19.99189989331574
21.716517609956693,21.262982817708927,21.214581741916597
20.401682212818947,20.50399619439924,20.405564097368153
19.568083196789907,19.590102191474504,19.828718261734092
22.0765203439881,21.64784004930298,21.311608959491195
21.80507100729814,21.58446203875976,22.108425863239745
22.50665705650395,22.048540282634114,22.47590647690209
19.92475814072864,19.652282160840038,19.869896484231756
21.31105250184853,21.818150861608718,21.780849438567504
21.36511972311881,21.3750482746404,21.236783712789574
20.905587393740365,20.97898883360732,20.666864898586237
21.59873457430032,21.55963925341608,21.19302112466795
22.50665705650395,22.220850018736495,22.633710610516093
22.227343233722685,22.20316375039495,22.139387788828838
20.615680626266474,20.379179455950492,20.385437674035277
21.12873094505457,21.18815597445911,21.20189136935877
21.55617495988152,21.342674527816868,21.177868584648323
21.85466794843752,21.885977149955945,21.845470068015658
20.560746907448635,22.206656809455204,22.326041139294382
21.12873094505457,21.131557302337836,20.881092281777974
